Er,Vf,[1.0mm cell] Beam radius (mm),[1.5mm cell] Beam radius (mm),[2.0mm cell] Beam radius (mm),[2.5mm cell] Beam radius (mm),[3.0mm cell] Beam radius (mm),[3.5mm cell] Beam radius (mm),[4.0mm cell] Beam radius (mm),[4.5mm cell] Beam radius (mm),[5.0mm cell] Beam radius (mm),[5.5mm cell] Beam radius (mm),[6.0mm cell] Beam radius (mm),[6.5mm cell] Beam radius (mm),[7.0mm cell] Beam radius (mm),[7.5mm cell] Beam radius (mm),[8.0mm cell] Beam radius (mm),[8.5mm cell] Beam radius (mm),[9.0mm cell] Beam radius (mm),[9.5mm cell] Beam radius (mm),[10.0mm cell] Beam radius (mm)
1.100,0.101,0.073,0.110,0.147,0.185,0.222,0.259,0.295,0.332,0.369,0.406,0.442,0.480,0.517,0.554,0.590,0.627,0.663,0.700,0.736
1.200,0.196,0.106,0.160,0.213,0.266,0.320,0.373,0.427,0.480,0.533,0.586,0.639,0.692,0.746,0.800,0.853,0.907,0.961,1.014,1.068
1.300,0.286,0.132,0.199,0.265,0.331,0.398,0.465,0.531,0.597,0.663,0.729,0.795,0.862,0.929,0.996,1.062,1.129,1.196,1.263,1.329
1.400,0.370,0.155,0.233,0.310,0.388,0.466,0.544,0.622,0.699,0.776,0.854,0.932,1.010,1.088,1.166,1.244,1.322,1.400,1.478,1.556
1.500,0.449,0.176,0.264,0.352,0.441,0.529,0.617,0.705,0.793,0.881,0.969,1.057,1.145,1.234,1.322,1.411,1.499,1.588,1.676,1.765
1.600,0.524,0.196,0.294,0.392,0.490,0.588,0.686,0.784,0.882,0.980,1.078,1.176,1.274,1.373,1.471,1.569,1.667,1.765,1.863,1.961
1.700,0.595,0.215,0.323,0.431,0.538,0.645,0.753,0.861,0.968,1.075,1.183,1.291,1.399,1.506,1.614,1.722,1.830,1.938,2.046,2.154
1.800,0.662,0.233,0.350,0.467,0.584,0.701,0.817,0.934,1.051,1.168,1.285,1.401,1.518,1.635,1.752,1.868,1.984,2.101,2.217,2.333
1.900,0.725,0.252,0.377,0.503,0.628,0.753,0.879,1.005,1.131,1.256,1.382,1.508,1.633,1.759,1.884,2.010,2.135,2.261,2.386,2.512
2.000,0.786,0.269,0.403,0.537,0.670,0.804,0.939,1.073,1.207,1.341,1.475,1.609,1.743,1.877,2.011,2.145,2.279,2.413,2.547,2.681
2.100,0.843,0.285,0.428,0.571,0.714,0.856,0.999,1.141,1.284,1.427,1.570,1.712,1.855,1.997,2.140,2.283,2.426,2.569,2.712,2.855
2.200,0.898,0.304,0.456,0.608,0.760,0.912,1.064,1.216,1.368,1.520,1.672,1.824,1.976,2.128,2.280,2.432,2.584,2.736,2.888,3.040
2.300,0.950,0.326,0.489,0.653,0.816,0.979,1.142,1.305,1.468,1.631,1.794,1.957,2.121,2.285,2.448,2.611,2.774,2.937,3.100,3.263
