Er,Vf,[1.0mm cell] Beam radius (mm),[1.5mm cell] Beam radius (mm),[2.0mm cell] Beam radius (mm),[2.5mm cell] Beam radius (mm),[3.0mm cell] Beam radius (mm),[3.5mm cell] Beam radius (mm),[4.0mm cell] Beam radius (mm),[4.5mm cell] Beam radius (mm),[5.0mm cell] Beam radius (mm),[5.5mm cell] Beam radius (mm),[6.0mm cell] Beam radius (mm),[6.5mm cell] Beam radius (mm),[7.0mm cell] Beam radius (mm),[7.5mm cell] Beam radius (mm),[8.0mm cell] Beam radius (mm),[8.5mm cell] Beam radius (mm),[9.0mm cell] Beam radius (mm),[9.5mm cell] Beam radius (mm),[10.0mm cell] Beam radius (mm)
1.100,0.104,0.053,0.079,0.105,0.133,0.160,0.186,0.212,0.238,0.265,0.291,0.318,0.345,0.372,0.398,0.424,0.450,0.476,0.502,0.528
1.150,0.153,0.065,0.098,0.131,0.164,0.198,0.231,0.263,0.296,0.328,0.360,0.393,0.427,0.461,0.494,0.527,0.560,0.593,0.626,0.658
1.200,0.201,0.076,0.114,0.152,0.191,0.230,0.268,0.306,0.344,0.382,0.420,0.458,0.498,0.537,0.574,0.611,0.649,0.686,0.723,0.761
1.250,0.248,0.086,0.129,0.172,0.216,0.259,0.303,0.346,0.388,0.431,0.474,0.517,0.561,0.605,0.649,0.692,0.735,0.778,0.822,0.865
1.300,0.293,0.094,0.142,0.189,0.238,0.287,0.334,0.382,0.429,0.476,0.524,0.571,0.619,0.668,0.716,0.763,0.811,0.858,0.905,0.953
1.350,0.337,0.103,0.154,0.206,0.259,0.313,0.364,0.415,0.467,0.518,0.570,0.621,0.674,0.727,0.779,0.830,0.881,0.933,0.984,1.036
1.400,0.379,0.111,0.167,0.222,0.279,0.337,0.392,0.448,0.503,0.558,0.614,0.669,0.726,0.784,0.840,0.895,0.951,1.007,1.063,1.119
1.450,0.420,0.118,0.178,0.237,0.299,0.360,0.419,0.478,0.537,0.596,0.656,0.715,0.776,0.837,0.896,0.955,1.014,1.073,1.132,1.191
1.500,0.460,0.126,0.189,0.252,0.317,0.382,0.445,0.508,0.571,0.634,0.697,0.760,0.825,0.890,0.953,1.016,1.079,1.142,1.205,1.268
1.550,0.499,0.133,0.200,0.266,0.335,0.404,0.471,0.537,0.604,0.670,0.737,0.803,0.872,0.941,1.007,1.074,1.141,1.208,1.275,1.341
1.600,0.537,0.140,0.210,0.280,0.353,0.425,0.495,0.565,0.635,0.706,0.776,0.846,0.918,0.990,1.060,1.129,1.198,1.268,1.337,1.406
1.650,0.574,0.147,0.221,0.294,0.370,0.446,0.520,0.594,0.667,0.741,0.814,0.888,0.964,1.040,1.114,1.188,1.262,1.336,1.410,1.484
1.700,0.610,0.154,0.231,0.309,0.388,0.467,0.545,0.622,0.699,0.776,0.853,0.930,1.010,1.089,1.167,1.244,1.322,1.399,1.477,1.554
1.750,0.644,0.161,0.242,0.322,0.405,0.488,0.569,0.650,0.731,0.811,0.892,0.972,1.055,1.138,1.219,1.299,1.380,1.460,1.541,1.621
1.800,0.678,0.168,0.252,0.336,0.423,0.510,0.595,0.679,0.763,0.847,0.931,1.015,1.102,1.189,1.273,1.358,1.442,1.527,1.611,1.696
1.850,0.711,0.176,0.264,0.351,0.442,0.532,0.620,0.708,0.796,0.883,0.971,1.059,1.150,1.240,1.328,1.416,1.503,1.591,1.679,1.767
1.900,0.744,0.183,0.275,0.366,0.461,0.555,0.647,0.738,0.830,0.922,1.013,1.105,1.199,1.294,1.385,1.476,1.567,1.659,1.750,1.841
1.950,0.775,0.191,0.287,0.382,0.481,0.579,0.675,0.771,0.867,0.962,1.057,1.153,1.251,1.350,1.446,1.543,1.639,1.736,1.832,1.929
2.000,0.806,0.200,0.300,0.400,0.503,0.606,0.707,0.807,0.906,1.006,1.106,1.206,1.309,1.412,1.513,1.613,1.714,1.814,1.915,2.015
2.050,0.835,0.210,0.315,0.420,0.528,0.636,0.741,0.846,0.951,1.056,1.161,1.266,1.375,1.483,1.588,1.692,1.797,1.901,2.006,2.110
2.100,0.864,0.222,0.332,0.443,0.557,0.671,0.781,0.892,1.003,1.113,1.224,1.335,1.449,1.563,1.674,1.784,1.894,2.004,2.115,2.225
2.150,0.893,0.235,0.352,0.469,0.590,0.711,0.828,0.945,1.062,1.180,1.297,1.414,1.535,1.656,1.773,1.891,2.008,2.126,2.243,2.360
2.200,0.921,0.250,0.375,0.500,0.629,0.758,0.883,1.008,1.133,1.258,1.383,1.508,1.637,1.766,1.891,2.016,2.141,2.266,2.391,2.516
2.250,0.948,0.269,0.404,0.539,0.678,0.817,0.952,1.087,1.221,1.356,1.491,1.626,1.765,1.904,2.039,2.174,2.309,2.444,2.579,2.713
2.300,0.974,0.297,0.446,0.595,0.748,0.902,1.050,1.199,1.347,1.496,1.645,1.793,1.947,2.101,2.249,2.398,2.546,2.695,2.844,2.992
