Er,Vf,[1.0mm cell] Beam radius (mm),[1.5mm cell] Beam radius (mm),[2.0mm cell] Beam radius (mm),[2.5mm cell] Beam radius (mm),[3.0mm cell] Beam radius (mm),[3.5mm cell] Beam radius (mm),[4.0mm cell] Beam radius (mm),[4.5mm cell] Beam radius (mm),[5.0mm cell] Beam radius (mm),[5.5mm cell] Beam radius (mm),[6.0mm cell] Beam radius (mm),[6.5mm cell] Beam radius (mm),[7.0mm cell] Beam radius (mm),[7.5mm cell] Beam radius (mm),[8.0mm cell] Beam radius (mm),[8.5mm cell] Beam radius (mm),[9.0mm cell] Beam radius (mm),[9.5mm cell] Beam radius (mm),[10.0mm cell] Beam radius (mm)
1.100,0.104,0.053,0.080,0.107,0.132,0.156,0.184,0.211,0.237,0.263,0.290,0.317,0.342,0.366,0.393,0.420,0.446,0.473,0.500,0.527
1.150,0.153,0.066,0.099,0.132,0.163,0.193,0.226,0.259,0.292,0.325,0.358,0.391,0.423,0.454,0.486,0.519,0.552,0.585,0.618,0.650
1.200,0.201,0.077,0.115,0.153,0.190,0.226,0.264,0.302,0.340,0.378,0.417,0.455,0.491,0.528,0.566,0.604,0.643,0.681,0.719,0.757
1.250,0.248,0.087,0.129,0.172,0.213,0.254,0.298,0.341,0.384,0.426,0.469,0.512,0.553,0.595,0.638,0.682,0.725,0.768,0.812,0.855
1.300,0.293,0.094,0.142,0.189,0.235,0.280,0.328,0.375,0.423,0.470,0.518,0.565,0.611,0.657,0.703,0.750,0.797,0.844,0.891,0.937
1.350,0.337,0.103,0.154,0.205,0.256,0.306,0.357,0.409,0.460,0.511,0.563,0.614,0.664,0.714,0.766,0.818,0.869,0.921,0.973,1.025
1.400,0.379,0.111,0.166,0.221,0.275,0.329,0.384,0.439,0.495,0.550,0.606,0.661,0.715,0.769,0.825,0.881,0.936,0.992,1.048,1.104
1.450,0.420,0.119,0.178,0.236,0.294,0.352,0.411,0.470,0.529,0.589,0.647,0.706,0.764,0.821,0.880,0.939,0.998,1.056,1.115,1.174
1.500,0.460,0.125,0.188,0.250,0.312,0.373,0.436,0.498,0.561,0.624,0.686,0.749,0.810,0.872,0.934,0.997,1.059,1.122,1.184,1.247
1.550,0.499,0.132,0.198,0.264,0.329,0.395,0.460,0.526,0.592,0.659,0.725,0.791,0.856,0.921,0.988,1.054,1.121,1.187,1.254,1.320
1.600,0.537,0.139,0.209,0.278,0.346,0.415,0.484,0.553,0.623,0.693,0.762,0.832,0.900,0.969,1.038,1.108,1.178,1.247,1.317,1.386
1.650,0.574,0.145,0.218,0.291,0.363,0.435,0.508,0.581,0.654,0.727,0.799,0.872,0.944,1.016,1.088,1.161,1.233,1.306,1.378,1.451
1.700,0.610,0.153,0.229,0.305,0.380,0.456,0.531,0.607,0.683,0.760,0.836,0.912,0.987,1.063,1.139,1.216,1.292,1.369,1.445,1.522
1.750,0.644,0.159,0.238,0.318,0.396,0.475,0.555,0.634,0.713,0.793,0.872,0.952,1.031,1.109,1.189,1.268,1.348,1.427,1.507,1.586
1.800,0.678,0.165,0.248,0.331,0.413,0.496,0.578,0.660,0.743,0.826,0.909,0.992,1.074,1.156,1.239,1.322,1.404,1.487,1.570,1.652
1.850,0.711,0.173,0.258,0.344,0.430,0.516,0.602,0.689,0.774,0.860,0.946,1.032,1.118,1.204,1.290,1.376,1.462,1.548,1.634,1.720
1.900,0.744,0.180,0.269,0.358,0.447,0.536,0.626,0.716,0.805,0.894,0.984,1.074,1.163,1.252,1.341,1.431,1.520,1.609,1.698,1.787
1.950,0.775,0.186,0.279,0.372,0.465,0.558,0.651,0.744,0.837,0.930,1.023,1.116,1.209,1.302,1.395,1.488,1.581,1.674,1.767,1.860
2.000,0.806,0.194,0.290,0.387,0.484,0.581,0.677,0.774,0.870,0.967,1.064,1.161,1.258,1.355,1.452,1.549,1.646,1.744,1.841,1.938
2.050,0.835,0.201,0.302,0.403,0.504,0.605,0.706,0.807,0.908,1.008,1.109,1.210,1.311,1.412,1.512,1.613,1.713,1.814,1.914,2.015
2.100,0.864,0.211,0.315,0.420,0.526,0.632,0.737,0.843,0.948,1.052,1.158,1.263,1.369,1.475,1.580,1.685,1.791,1.896,2.001,2.106
2.150,0.893,0.220,0.331,0.441,0.551,0.662,0.773,0.883,0.994,1.104,1.214,1.324,1.435,1.546,1.656,1.766,1.876,1.986,2.096,2.206
2.200,0.921,0.232,0.348,0.463,0.580,0.697,0.813,0.929,1.045,1.161,1.277,1.393,1.510,1.627,1.742,1.858,1.973,2.089,2.204,2.320
2.250,0.948,0.246,0.369,0.492,0.616,0.740,0.862,0.985,1.108,1.231,1.354,1.477,1.601,1.725,1.848,1.971,2.093,2.216,2.339,2.462
2.300,0.974,0.266,0.397,0.529,0.663,0.798,0.930,1.063,1.195,1.327,1.459,1.592,1.726,1.861,1.993,2.125,2.257,2.389,2.521,2.653
